,Station Name,City,State,Network,Pricing,Open Date
63,Pitt School Plaza,Dixon,CA,Non-Networked,Free,2004-06-15
59,Office of Housing & Redevelopment,Vacaville,CA,Non-Networked,Free,2004-06-15
67,Carmichael Library,Carmichael,CA,Non-Networked,Free,2004-07-15
70,Solano Community College,Fairfield,CA,Non-Networked,Free,2005-07-15
71,Vallejo Ferry Terminal,Vallejo,CA,Non-Networked,Free,2005-07-15
499,Bella Vista Road Park & Ride Lot,Vacaville,CA,Non-Networked,Free,2005-07-15
1699,The Famous Pearson Fuel Depot,San Diego,CA,Blink Network,Free,2006-07-15
68,Rio Vista City Hall,Rio Vista,CA,Non-Networked,Free,2006-08-15
99,KING COUNTY DES ISSAQUAH P&R 2,Issaquah,WA,ChargePoint Network,Free,2008-02-15
74,City of Ukiah - Public Parking Lot,Ukiah,CA,Non-Networked,Free,2008-11-30
76,4th and G Plaza Public Parking Garage,Davis,CA,Non-Networked,Free,2008-12-01
77,Davis Amtrak Station,Davis,CA,Non-Networked,Free,2008-12-01
1407,University of California - Davis - Lot 35,Davis,CA,Non-Networked,Parking fee,2008-12-01
1405,University of California - Davis - Gateway Parking Structure,Davis,CA,Non-Networked,Parking fee,2008-12-01
78,University of California - Davis - Quad Parking Structure,Davis,CA,Non-Networked,Parking fee,2008-12-01
1403,University of California - Davis- Lot 55,Davis,CA,Non-Networked,Parking fee,2008-12-01
1402,University of California - Davis - Lot 56,Davis,CA,Non-Networked,Parking fee,2008-12-01
1401,University of California - Davis - Lot 31,Davis,CA,Non-Networked,Parking fee,2008-12-01
79,University Covenant Church,Davis,CA,Non-Networked,Free,2008-12-01
1406,University of California - Davis - Lot 1,Davis,CA,Non-Networked,Parking fee,2008-12-01
1404,University of California - Davis - Lot 44,Davis,CA,Non-Networked,Parking fee,2008-12-01
75,Nut Tree Village,Vacaville,CA,Non-Networked,Free,2008-12-15
82,Golden Gate Ferry Terminal,Larkspur,CA,Non-Networked,Free,2008-12-31
100,SEAPORT GARAGE EAST GARAGE2 P1,Boston,MA,ChargePoint Network,Free,2009-03-15
85,Fairfield Transportation Center,Fairfield,CA,Non-Networked,Free,2009-05-01
2250,"Paul Schafer, DDS",Novato,CA,Non-Networked,Free,2009-06-01
1298,Jim Barnard Chevrolet,Churchville,NY,Non-Networked,Free,2010-01-01
1264,Bob Johnson Chevrolet,Rochester,NY,Non-Networked,Free,2010-01-01
937,Beachcomber Motel and Spa,Fort Bragg,CA,Non-Networked,Free,2010-03-01
1783,Seattle-Tacoma International Airport - Terminal Direct Parking,Seattle,WA,Non-Networked,Free,2010-03-01
84,Seattle-Tacoma International Airport - General Parking,Seattle,WA,Non-Networked,Free,2010-03-01
90,Steam Plant Parking,Spokane,WA,Non-Networked,Free,2010-04-15
